01,01,01,13,11,02,01,01,01,01,01,13,11,02,01,01
01,01,13,10,00,03,11,11,11,11,02,09,00,04,01,01
01,01,09,00,00,00,00,00,00,00,03,10,00,03,02,01
01,01,08,12,00,00,00,00,00,00,00,00,00,00,04,01
01,01,01,08,12,00,00,00,00,00,00,00,00,00,04,01
01,01,01,01,08,12,00,00,00,00,00,00,00,00,04,01
01,01,01,13,11,10,00,00,00,00,00,00,00,07,05,01
01,01,13,10,00,00,00,00,00,00,00,00,00,04,01,01
13,11,10,00,00,00,00,00,00,00,00,00,07,05,01,01
09,00,00,00,00,00,00,00,00,00,07,06,05,01,01,01
09,00,00,00,00,00,00,00,00,00,03,11,11,11,02,01
09,00,00,00,00,00,00,00,00,00,00,00,00,00,04,01
09,00,00,00,00,00,00,00,00,00,00,00,00,00,30,20
08,12,00,00,00,00,00,00,00,00,00,07,12,00,00,04
01,09,00,00,00,07,12,00,00,07,06,05,09,00,00,04
01,08,06,06,06,05,08,06,06,05,01,01,08,06,06,05

